DATE,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,USD
2018-05-15,0.7472,1.2873999999999999,1.0013,1.1837499999999999,1.35065,110.35,8.1222,0.6862,8.6855,1.0
2018-05-14,0.7525999999999999,1.2812999999999999,1.0006,1.1926999999999999,1.3556,109.66,8.032599999999999,0.69135,8.6421,1.0
2018-05-11,0.7543,1.2793,1.0006,1.1944,1.3543500000000002,109.395,8.0019,0.6968,8.5952,1.0
2018-05-10,0.7533,1.2767,1.0033,1.1915,1.3517,109.395,8.0037,0.6963,8.651,1.0
2018-05-09,0.7464500000000001,1.2854,1.00525,1.18505,1.35465,109.745,8.076699999999999,0.69865,8.7042,1.0
2018-05-08,0.7451,1.295,1.0016500000000002,1.1864,1.3546,109.125,8.1404,0.6970000000000001,8.8187,1.0
2018-05-07,0.7517,1.2881,1.0026,1.1922,1.3557000000000001,109.095,8.0703,0.7017,8.8355,1.0
2018-05-04,0.75425,1.2846,0.99995,1.196,1.35325,109.125,8.0552,0.702,8.799900000000001,1.0
2018-05-03,0.75315,1.2847,0.9976,1.1988500000000002,1.3576,109.195,8.0485,0.7041999999999999,8.8137,1.0
2018-05-02,0.7496499999999999,1.2884,0.9993000000000001,1.19515,1.3578000000000001,109.845,8.122399999999999,0.6996,8.9163,1.0
2018-05-01,0.74905,1.2848,0.9964,1.19935,1.3614,109.865,8.0877,0.7005,8.8484,1.0
2018-04-30,0.75335,1.284,0.99075,1.20785,1.3771499999999999,109.33500000000001,8.015899999999998,0.7036,8.7492,1.0
2018-04-27,0.7582,1.2828,0.9879,1.213,1.3780000000000001,109.045,7.9596,0.7085,8.6587,1.0
2018-04-26,0.7556,1.2867,0.9891,1.2103,1.3916,109.305,7.9954,0.7061999999999999,8.6646,1.0
2018-04-25,0.7564,1.2843,0.9833000000000001,1.2161,1.3931,109.425,7.9725,0.7070000000000001,8.5647,1.0
2018-04-24,0.7604,1.28335,0.9789,1.2232,1.3977,108.82,7.9026,0.712,8.5075,1.0
2018-04-23,0.76045,1.2849,0.9781,1.2208999999999999,1.3941,108.71000000000001,7.88715,0.7148,8.5195,1.0
2018-04-20,0.7673,1.2759,0.9746,1.2288000000000001,1.4004500000000002,107.665,7.8232,0.7209,8.4461,1.0
2018-04-19,0.77305,1.2671999999999999,0.97135,1.2346,1.40915,107.375,7.7921,0.7272000000000001,8.4047,1.0
