DATE,SPY
2009-04-20,83.805
2009-04-21,85.265
2009-04-22,84.31
2009-04-23,85.66
2009-04-24,86.97
2009-04-27,85.75
2009-04-28,85.545
2009-04-29,87.34
2009-04-30,87.13499999999999
2009-05-01,88.065
2009-05-04,90.755
2009-05-05,90.755
2009-05-06,92.125
2009-05-07,91.125
2009-05-08,92.965
2009-05-11,91.25999999999999
2009-05-12,91.265
2009-05-13,89.03
2009-05-14,89.405
2009-05-15,88.775
2009-05-18,91.21
2009-05-19,90.955
2009-05-20,90.44
2009-05-21,89.375
2009-05-22,88.94
2009-05-26,91.28
2009-05-27,89.625
2009-05-28,90.97
2009-05-29,92.60499999999999
2009-06-01,94.315
2009-06-02,94.59
2009-06-03,93.66499999999999
2009-06-04,94.625
2009-06-05,94.425
2009-06-08,94.455
2009-06-09,94.35499999999999
2009-06-10,94.47999999999999
2009-06-11,94.625
2009-06-12,95.015
2009-06-15,92.84
2009-06-16,91.66
2009-06-17,91.515
2009-06-18,92.16499999999999
2009-06-19,91.975
2009-06-22,89.32
2009-06-23,89.41
2009-06-24,90.21000000000001
2009-06-25,92.08500000000001
2009-06-26,91.81
2009-06-29,92.575
2009-06-30,92.00999999999999
2009-07-01,92.39
2009-07-02,89.47
2009-07-06,90.00999999999999
2009-07-07,88.315
2009-07-08,88.015
2009-07-09,88.285
2009-07-10,87.97999999999999
2009-07-13,89.985
2009-07-14,91.43
2009-07-15,93.045
2009-07-16,93.935
2009-07-17,94.155
2009-07-20,95.195
2009-07-21,95.705
2009-07-22,95.5
2009-07-23,96.97999999999999
2009-07-24,98.225
2009-07-27,98.33
2009-07-28,97.815
2009-07-29,97.84
2009-07-30,98.635
2009-07-31,98.67500000000001
2009-08-03,100.53
2009-08-04,100.89500000000001
2009-08-05,100.435
2009-08-06,99.94
2009-08-07,101.15
2009-08-10,101.13499999999999
2009-08-11,99.655
2009-08-12,100.67500000000001
2009-08-13,101.735
2009-08-14,100.955
2009-08-17,98.13499999999999
2009-08-18,99.35
2009-08-19,100.07499999999999
2009-08-20,100.945
2009-08-21,102.965
2009-08-24,102.86500000000001
2009-08-25,103.03
2009-08-26,103.10499999999999
2009-08-27,103.4
2009-08-28,103.095
2009-08-31,102.535
2009-09-01,100.13499999999999
2009-09-02,99.885
2009-09-03,100.735
2009-09-04,101.955
2009-09-08,102.92
2009-09-09,103.735
2009-09-10,104.61500000000001
2009-09-11,104.685
2009-09-14,105.195
2009-09-15,105.485
2009-09-16,107.225
2009-09-17,107.245
2009-09-18,106.63499999999999
2009-09-21,106.44
2009-09-22,107.135
2009-09-23,106.295
2009-09-24,104.905
2009-09-25,104.515
2009-09-28,106.39500000000001
2009-09-29,105.93
2009-09-30,105.725
2009-10-01,103.195
2009-10-02,102.63
2009-10-05,104.155
2009-10-06,105.32
2009-10-07,105.83500000000001
2009-10-08,106.795
2009-10-09,107.3
2009-10-12,107.595
2009-10-13,107.905
2009-10-14,109.245
2009-10-15,109.55000000000001
2009-10-16,108.595
2009-10-19,109.96000000000001
2009-10-20,109.31
2009-10-21,108.1
2009-10-22,109.47
2009-10-23,108.095
2009-10-26,107.02
2009-10-27,106.565
2009-10-28,104.39
2009-10-29,106.565
2009-10-30,103.61500000000001
2009-11-02,104.545
2009-11-03,104.605
2009-11-04,105.175
2009-11-05,106.84
2009-11-06,107.19
2009-11-09,109.61500000000001
2009-11-10,109.66499999999999
2009-11-11,110.07499999999999
2009-11-12,109.225
2009-11-13,109.71000000000001
2009-11-16,111.1
2009-11-17,111.22
2009-11-18,111.35499999999999
2009-11-19,109.88499999999999
2009-11-20,109.505
2009-11-23,110.845
2009-11-24,110.80000000000001
2009-11-25,111.36500000000001
2009-11-27,109.465
2009-11-30,109.78999999999999
2009-12-01,111.27000000000001
2009-12-02,111.28
2009-12-03,110.225
2009-12-04,111.255
2009-12-07,111.035
2009-12-08,109.455
2009-12-09,109.995
2009-12-10,110.735
2009-12-11,111.245
2009-12-14,111.78999999999999
2009-12-15,111.375
2009-12-16,111.465
2009-12-17,110.35
2009-12-18,110.33500000000001
2009-12-21,111.165
2009-12-22,111.745
2009-12-23,111.885
2009-12-24,112.63
2009-12-28,112.65
2009-12-29,112.565
2009-12-30,112.57499999999999
2009-12-31,111.515
2010-01-04,113.285
2010-01-05,113.62
2010-01-06,113.735
2010-01-07,114.195
2010-01-08,114.595
2010-01-11,114.49000000000001
2010-01-12,113.815
2010-01-13,114.63
2010-01-14,115.105
2010-01-15,113.555
2010-01-19,114.88499999999999
2010-01-20,113.965
2010-01-21,111.375
2010-01-22,109.53
2010-01-25,110.005
2010-01-26,109.13
2010-01-27,109.89500000000001
2010-01-28,108.755
2010-01-29,107.36500000000001
2010-02-01,109.065
2010-02-02,110.225
2010-02-03,110.10499999999999
2010-02-04,106.63499999999999
2010-02-05,106.515
2010-02-08,106.005
2010-02-09,107.195
2010-02-10,106.825
2010-02-11,108.185
2010-02-12,108.345
2010-02-16,109.795
