DATE,SDY
2008-11-06,41.425
2008-11-07,41.540000000000006
2008-11-10,41.09
2008-11-11,41.305
2008-11-12,40.39
2008-11-13,41.995
2008-11-14,42.5
2008-11-17,40.63500000000001
2008-11-18,39.59
2008-11-19,38.0
2008-11-20,35.59999999999999
2008-11-21,35.565
2008-11-24,38.72
2008-11-25,39.24500000000001
2008-11-26,39.875
2008-11-28,39.46
2008-12-01,37.815
2008-12-02,40.46
2008-12-03,40.03
2008-12-04,40.01000000000001
2008-12-05,41.425
2008-12-08,40.835
2008-12-09,41.05
2008-12-10,41.43
2008-12-11,39.655
2008-12-12,40.865
2008-12-15,40.02
2008-12-16,41.215
2008-12-17,40.8
2008-12-18,41.465
2008-12-19,40.71
2008-12-22,40.515
2008-12-23,38.88
2008-12-24,39.35
2008-12-26,38.965
2008-12-29,40.29
2008-12-30,47.5
2008-12-31,40.135
2009-01-05,41.575
2009-01-06,41.73
2009-01-07,41.225
2009-01-08,40.72
2009-01-09,41.115
2009-01-12,38.815
2009-01-13,39.25
2009-01-14,38.0
2009-01-15,37.985
2009-01-16,40.0
2009-01-20,36.43
2009-01-21,37.02500000000001
2009-01-22,38.825
2009-01-23,36.395
2009-01-26,36.24
2009-01-27,37.91
2009-01-28,37.855
2009-01-29,36.655
2009-01-30,35.295
2009-02-02,35.205
2009-02-03,35.565
2009-02-04,35.525
2009-02-05,35.2
2009-02-06,35.585
2009-02-09,36.375
2009-02-10,35.795
2009-02-11,34.935
2009-02-12,34.92
2009-02-13,34.545
2009-02-17,32.84
2009-02-18,32.805
2009-02-19,33.49
2009-02-20,31.89
2009-02-23,32.195
2009-02-24,31.895
2009-02-25,31.8
2009-02-26,30.71
2009-02-27,30.695
2009-03-02,30.02
2009-03-03,29.065
2009-03-04,29.665
2009-03-05,28.54
2009-03-06,28.745
2009-03-09,27.27
2009-03-10,29.48
2009-03-11,29.905
2009-03-12,31.43
2009-03-13,31.54
2009-03-16,31.63000000000001
2009-03-17,32.64
2009-03-18,34.875
2009-03-19,33.105000000000004
2009-03-20,33.13
2009-03-23,32.43
2009-03-24,34.185
2009-03-25,35.805
2009-03-26,35.405
2009-03-27,35.875
2009-03-30,34.36
2009-03-31,33.645
2009-04-01,35.86499999999999
2009-04-02,35.51000000000001
2009-04-03,35.925
2009-04-06,35.515
2009-04-07,35.98000000000001
2009-04-08,35.91
2009-04-09,37.07
2009-04-13,37.795
2009-04-14,36.08
2009-04-15,37.59
2009-04-16,37.81
2009-04-17,37.94
2009-04-20,36.06
2009-04-21,38.165
2009-04-22,38.23
2009-04-23,36.97
2009-04-24,38.72
2009-04-27,38.49
2009-04-28,38.49
2009-04-29,38.94
2009-04-30,38.79
2009-05-01,38.88
2009-05-04,41.185
2009-05-05,41.01000000000001
2009-05-06,41.56
2009-05-07,40.215
2009-05-08,41.005
2009-05-11,40.395
2009-05-12,39.2
2009-05-13,37.35
2009-05-14,38.24
2009-05-15,37.49
2009-05-18,39.64
2009-05-19,39.855
2009-05-20,39.565
2009-05-21,38.565
2009-05-22,38.265
2009-05-26,38.13
2009-05-27,37.345
2009-05-28,38.62000000000001
2009-05-29,39.94
2009-06-01,39.36
2009-06-02,40.40000000000001
2009-06-03,38.83
